id;time;x;y;niveau_nappe_eau;PRELIQ_Q;T_Q;ETP_Q;Peff_All;code_bss
15200;2015-01-01;;;;101.0;4.6;;;02923X0007/F
15201;2015-01-01;;;;94.0;5.6;;;02923X0007/F
15202;2015-01-01;;;;121.0;5.3;;;02923X0007/F
15203;2015-01-01;;;;98.0;4.6;;;02923X0007/F
15204;2015-01-01;;;;27.0;5.6;;;02923X0007/F
15205;2015-01-01;;;;38.0;8.0;;;02923X0007/F
15206;2015-01-01;;;;71.0;7.6;;;02923X0007/F
15207;2015-01-01;;;;91.0;9.9;;;02923X0007/F
15208;2015-01-01;;;;39.0;9.1;;;02923X0007/F
15209;2015-01-01;;;;23.0;9.1;;;02923X0007/F
15210;2015-01-01;;;;27.0;9.1;;;02923X0007/F
15211;2015-01-01;;;;20.0;9.3;;;02923X0007/F
15212;2015-01-01;;;;;28.2;;;02923X0007/F
15213;2015-01-01;;;;;28.2;;;02923X0007/F
15214;2015-01-01;;;;;28.2;;;02923X0007/F
15215;2015-01-01;;;;;27.9;;;02923X0007/F
15216;2015-01-01;;;;343.0;27.0;;;02923X0007/F
15217;2015-01-01;;;;66.0;17.6;;;02923X0007/F
15218;2015-01-01;;;;164.0;8.1;;;02923X0007/F
15219;2015-01-01;;;;75.0;7.5;;;02923X0007/F
15220;2015-01-01;;;;510.0;27.8;;;02923X0007/F
15221;2015-01-01;;;;65.0;24.9;;;02923X0007/F
15222;2015-01-01;;;;106.0;25.7;;;02923X0007/F
15223;2015-01-01;;;;360.0;24.9;;;02923X0007/F
15224;2015-01-01;;;;406.0;26.0;;;02923X0007/F
15225;2015-01-01;;;;270.0;25.4;;;02923X0007/F
15226;2015-01-01;;;;48.0;1.3;;;02923X0007/F
15227;2015-01-01;;;;122.0;5.9;;;02923X0007/F
15228;2015-01-01;;;;52.0;-1.1;;;02923X0007/F
15229;2015-01-01;;;;67.0;4.4;;;02923X0007/F
15230;2015-01-01;;;;80.0;3.8;;;02923X0007/F
15231;2015-01-01;;;;107.0;8.4;;;02923X0007/F
15232;2015-01-01;;;;81.0;5.7;;;02923X0007/F
15233;2015-01-01;;;;103.0;4.0;;;02923X0007/F
15234;2015-01-01;;;;54.0;3.4;;;02923X0007/F
15235;2015-01-01;;;;184.0;7.7;;;02923X0007/F
15236;2015-01-01;;;;123.0;8.2;;;02923X0007/F
15237;2015-01-01;;;;78.0;6.1;;;02923X0007/F
15238;2015-01-01;;;;65.0;4.5;;;02923X0007/F
15239;2015-01-01;;;;37.0;4.2;;;02923X0007/F
15240;2015-01-01;;;;61.0;3.8;;;02923X0007/F
15241;2015-01-01;;;;92.0;2.1;;;02923X0007/F
15242;2015-01-01;;;;282.0;25.4;;;02923X0007/F
15243;2015-01-01;;;;75.0;3.3;;;02923X0007/F
15244;2015-01-01;;;;107.0;6.4;;;02923X0007/F
15245;2015-01-01;;;;39.0;5.0;;;02923X0007/F
15246;2015-01-01;;;;88.0;4.3;;;02923X0007/F
15247;2015-01-01;;;;54.0;3.1;;;02923X0007/F
15248;2015-01-01;;;;67.0;3.1;;;02923X0007/F
15249;2015-01-01;;;;84.0;8.4;;;02923X0007/F
15250;2015-01-01;;;;50.0;4.9;;;02923X0007/F
15251;2015-01-01;;;;99.0;3.7;;;02923X0007/F
15252;2015-01-01;;;;21.0;4.8;;;02923X0007/F
15253;2015-01-01;;;;23.0;1.4;;;02923X0007/F
15254;2015-01-01;;;;94.0;4.0;;;02923X0007/F
15255;2015-01-01;;;;94.0;6.3;;;02923X0007/F
15256;2015-01-01;;;;93.0;9.2;;;02923X0007/F
15257;2015-01-01;;;;;-1.1;;;02923X0007/F
15258;2020-01-01;11720.0;16170.0;;;;165196.697;;02923X0007/F
15259;2020-02-01;11720.0;16170.0;;;;301334.821;;02923X0007/F
15260;2020-03-01;11720.0;16170.0;;;;476136.775;;02923X0007/F
15261;2020-04-01;11720.0;16170.0;;;;815110.654;;02923X0007/F
15262;2020-05-01;11720.0;16170.0;;;;1060082.009;;02923X0007/F
15263;2020-06-01;11720.0;16170.0;;;;1046627.621;;02923X0007/F
15264;2020-07-01;11720.0;16170.0;;;;1306780.244;;02923X0007/F
15265;2020-08-01;11720.0;16170.0;;;;1137495.043;;02923X0007/F
15266;2020-09-01;11720.0;16170.0;;;;751106.215;;02923X0007/F
15267;2020-10-01;11720.0;16170.0;;;;352254.625;;02923X0007/F
15268;2020-11-01;11720.0;16170.0;;;;201148.801;;02923X0007/F
15269;2020-12-01;11720.0;16170.0;;;;120404.356;;02923X0007/F
15270;2021-01-01;11720.0;16170.0;;;;140754.189;;02923X0007/F
15271;2021-02-01;11720.0;16170.0;;;;272089.767;;02923X0007/F
15272;2021-03-01;11720.0;16170.0;;;;483517.757;;02923X0007/F
15273;2021-04-01;11720.0;16170.0;;;;728466.593;;02923X0007/F
15274;2021-05-01;11720.0;16170.0;;;;860704.88;;02923X0007/F
15275;2021-06-01;11720.0;16170.0;;;;1091721.842;;02923X0007/F
15276;2021-07-01;11720.0;16170.0;;;;1080339.954;;02923X0007/F
15277;2021-08-01;11720.0;16170.0;;;;944354.731;;02923X0007/F
15278;2021-09-01;11720.0;16170.0;;;;683629.54;;02923X0007/F
15279;2021-10-01;11720.0;16170.0;;;;393244.445;;02923X0007/F
15280;2021-11-01;11720.0;16170.0;;;;159444.774;;02923X0007/F
15281;2021-12-01;11720.0;16170.0;;;;124472.347;;02923X0007/F
15282;2022-01-01;11720.0;16170.0;;;;148547.671;;02923X0007/F
15283;2022-02-01;11720.0;16170.0;;;;257601.829;;02923X0007/F
15284;2022-03-01;11720.0;16170.0;;;;524565.878;;02923X0007/F
15285;2022-04-01;11720.0;16170.0;;;;697074.786;;02923X0007/F
15286;2022-05-01;11720.0;16170.0;;;;1096623.838;;02923X0007/F
15287;2022-06-01;11720.0;16170.0;;;;1228614.159;;02923X0007/F
15288;2022-07-01;11720.0;16170.0;;;;1474803.668;;02923X0007/F
15289;2022-08-01;11720.0;16170.0;;;;1276789.538;;02923X0007/F
15290;2022-09-01;11720.0;16170.0;;;;708361.655;;02923X0007/F
15291;2022-10-01;11720.0;16170.0;;;;454763.469;;02923X0007/F
15292;2022-11-01;11720.0;16170.0;;;;204521.179;;02923X0007/F
15293;2022-12-01;11720.0;16170.0;;;;134321.422;;02923X0007/F
15294;2023-01-01;11720.0;16170.0;;;;171915.222;;02923X0007/F
15295;2023-02-01;11720.0;16170.0;;;;250700.637;;02923X0007/F
15296;2023-03-01;11720.0;16170.0;;;;488704.613;;02923X0007/F
15297;2023-04-01;11720.0;16170.0;;;;656507.296;;02923X0007/F
15298;2023-05-01;11720.0;16170.0;;;;965627.357;;02923X0007/F
15299;2023-06-01;11720.0;16170.0;;;;1256878.23;;02923X0007/F
15300;2023-07-01;11720.0;16170.0;;;;1235724.892;;02923X0007/F
15301;2023-08-01;11720.0;16170.0;;;;1054833.776;;02923X0007/F
15302;2023-09-01;11720.0;16170.0;;;;823751.19;;02923X0007/F
15303;2023-10-01;11720.0;16170.0;;;;487616.644;;02923X0007/F
15304;2023-11-01;11720.0;16170.0;;;;206817.455;;02923X0007/F
15305;2023-12-01;11720.0;16170.0;;;;157881.85;;02923X0007/F
15306;2024-01-01;11720.0;16170.0;;;;170194.654;;02923X0007/F
15307;2024-02-01;11720.0;16170.0;;;;244531.1;;02923X0007/F
15308;2024-03-01;11720.0;16170.0;;;;469243.986;;02923X0007/F
15309;2024-04-01;11720.0;16170.0;;;;711430.162;;02923X0007/F
15310;2024-05-01;11720.0;16170.0;;;;849314.271;;02923X0007/F
15311;2024-06-01;11720.0;16170.0;;;;1038516.646;;02923X0007/F
15312;2024-07-01;11720.0;16170.0;;;;1181149.242;;02923X0007/F
15313;2024-08-01;11720.0;16170.0;;;;1091133.696;;02923X0007/F
15314;2024-09-01;11720.0;16170.0;;;;604992.534;;02923X0007/F
15315;2024-10-01;11720.0;16170.0;;;;352657.157;;02923X0007/F
15316;2024-11-01;11720.0;16170.0;;;;192559.722;;02923X0007/F
15317;2024-12-01;11720.0;16170.0;;;;133675.072;;02923X0007/F
